pclass,survived,sex,age
1,0,female,2
1,0,male,30
1,0,female,25
1,0,male,39
1,0,male,71
1,0,male,47
1,0,male,24
1,0,male,36
1,0,male,25
1,0,male,45
1,0,male,42
1,0,male,41
1,0,male,48
1,0,male,45
1,0,male,33
1,0,male,28
1,0,male,17
1,0,male,49
1,0,male,36
1,0,male,46
1,0,male,27
1,0,male,47
1,0,male,37
1,0,male,70
1,0,male,39
1,0,male,31
1,0,male,50
1,0,male,39
1,0,female,36
1,0,male,30
1,0,male,19
1,0,male,64
1,0,male,37
1,0,male,47
1,0,male,24
1,0,male,71
1,0,male,38
1,0,male,46
1,0,male,45
1,0,male,40
1,0,male,55
1,0,male,42
1,0,male,55
1,0,male,42
1,0,female,50
1,0,male,46
1,0,male,50
1,0,male,32.5
1,0,male,58
1,0,male,41
1,0,male,42
1,0,male,29
1,0,male,30
1,0,male,30
1,0,male,19
1,0,male,46
1,0,male,54
1,0,male,28
1,0,male,65
1,0,male,44
1,0,male,55
1,0,male,47
1,0,male,37
1,0,male,58
1,0,male,64
1,0,male,65
1,0,male,28.5
1,0,male,45.5
1,0,male,23
1,0,male,29
1,0,male,18
1,0,male,47
1,0,male,38
1,0,male,22
1,0,male,31
1,0,male,46
1,0,male,36
1,0,male,55
1,0,male,33
1,0,male,61
1,0,male,50
1,0,male,56
1,0,male,56
1,0,male,24
1,0,male,57
1,0,male,62
1,0,male,67
1,0,female,63
1,0,male,61
1,0,male,52
1,0,male,49
1,0,male,40
1,0,male,61
1,0,male,47
1,0,male,64
1,0,male,60
1,0,male,54
1,0,male,21
1,0,male,57
1,0,male,50
1,0,male,27
1,0,male,51
1,0,male,62
2,0,male,30
2,0,male,30
2,0,male,18
2,0,male,25
2,0,male,34
2,0,male,57
2,0,male,18
2,0,male,23
2,0,male,28
2,0,male,51
2,0,male,28
2,0,male,23
2,0,male,26
2,0,male,42
2,0,male,27
2,0,male,60
2,0,male,25
2,0,male,25
2,0,male,42
2,0,male,19
2,0,female,44
2,0,male,54
2,0,male,52
2,0,male,37
2,0,female,29
2,0,male,29
2,0,male,29
2,0,male,28
2,0,male,31
2,0,female,30
2,0,male,21
2,0,male,18
2,0,male,32
2,0,male,17
2,0,male,29
2,0,male,25
2,0,male,18
2,0,male,54
2,0,male,42
2,0,male,23
2,0,male,21
2,0,male,18
2,0,male,40
2,0,male,18
2,0,male,36
2,0,female,38
2,0,male,35
2,0,male,38
2,0,male,34
2,0,male,16
2,0,male,26
2,0,male,47
2,0,male,21
2,0,male,21
2,0,male,24
2,0,male,24
2,0,male,34
2,0,male,30
2,0,male,52
2,0,male,30
2,0,male,44
2,0,male,28
2,0,male,30
2,0,male,43
2,0,male,49
2,0,male,24
2,0,male,32
2,0,male,21
2,0,female,18
2,0,male,23
2,0,male,36
2,0,male,50
2,0,male,44
2,0,male,21
2,0,male,63
2,0,female,60
2,0,male,33
2,0,male,42
2,0,male,47
2,0,male,24
2,0,male,22
2,0,male,32
2,0,male,34
2,0,female,22
2,0,male,35
2,0,male,57
2,0,male,31
2,0,female,26
2,0,male,30
2,0,male,25
2,0,male,36
2,0,male,24
2,0,male,61
2,0,male,50
2,0,female,57
2,0,male,31
2,0,male,30
2,0,male,40
2,0,male,32
2,0,male,30
2,0,male,46
2,0,male,39
2,0,male,48
2,0,male,70
2,0,male,27
2,0,male,54
2,0,male,39
2,0,male,16
2,0,male,62
2,0,male,32.5
2,0,male,36.5
2,0,male,26
2,0,male,19
2,0,male,28
2,0,male,39
2,0,male,23
2,0,male,28
2,0,male,19
2,0,male,41
2,0,male,43
2,0,male,34
2,0,male,27
2,0,male,36
2,0,male,34
2,0,male,23
2,0,male,19
2,0,male,26
2,0,male,25
2,0,male,27
2,0,male,59
2,0,male,35
2,0,male,25
2,0,male,41
2,0,male,25
2,0,male,18.5
2,0,male,14
2,0,male,23
2,0,male,29
2,0,female,27
2,0,male,40
2,0,male,30
2,0,male,23
2,0,male,27
2,0,male,36
2,0,male,66
2,0,female,24
3,0,male,42
3,0,male,13
3,0,male,16
3,0,male,30
3,0,male,26
3,0,female,40
3,0,male,26
3,0,male,20
3,0,male,24
3,0,male,25
3,0,male,35
3,0,male,18
3,0,male,32
3,0,male,4
3,0,female,6
3,0,female,2
3,0,female,38
3,0,female,9
3,0,female,11
3,0,male,39
3,0,male,26
3,0,female,39
3,0,male,20
3,0,male,26
3,0,male,25
3,0,female,18
3,0,male,24
3,0,male,35
3,0,male,5
3,0,male,9
3,0,male,13
3,0,male,40
3,0,male,21
3,0,male,23
3,0,female,17
3,0,male,30
3,0,male,23
3,0,male,20
3,0,male,32
3,0,male,40
3,0,male,26
3,0,female,18
3,0,female,45
3,0,female,27
3,0,male,22
3,0,male,19
3,0,male,26
3,0,male,22
3,0,male,20
3,0,male,21
3,0,male,18
3,0,male,26
3,0,male,6
3,0,female,9
3,0,male,40
3,0,female,32
3,0,male,21
3,0,female,20
3,0,male,29
3,0,male,22
3,0,male,22
3,0,male,35
3,0,female,18.5
3,0,male,19
3,0,female,18
3,0,female,21
3,0,female,30
3,0,male,18
3,0,male,38
3,0,male,17
3,0,male,17
3,0,female,21
3,0,male,21
3,0,male,21
3,0,male,28
3,0,male,24
3,0,female,37
3,0,male,28
3,0,male,24
3,0,male,21
3,0,male,29
3,0,male,26
3,0,male,18
3,0,male,20
3,0,male,24
3,0,male,36
3,0,male,24
3,0,male,31
3,0,male,31
3,0,female,30
3,0,male,70.5
3,0,male,43
3,0,male,35
3,0,male,27
3,0,male,19
3,0,male,30
3,0,male,59
3,0,male,19
3,0,male,44
3,0,male,17
3,0,male,22.5
3,0,female,22
3,0,male,19
3,0,male,0.3333
3,0,male,34
3,0,female,28
3,0,male,27
3,0,male,25
3,0,male,24
3,0,male,22
3,0,male,21
3,0,male,17
3,0,male,16
3,0,male,26
3,0,male,25
3,0,male,22
3,0,male,36
3,0,male,17
3,0,male,42
3,0,male,43
3,0,male,32
3,0,female,24
3,0,male,33
3,0,male,65
3,0,male,23
3,0,male,18
3,0,male,16
3,0,male,45
3,0,male,39
3,0,male,17
3,0,male,15
3,0,male,47
3,0,male,40.5
3,0,male,40.5
3,0,male,18
3,0,male,26
3,0,female,21
3,0,female,9
3,0,male,18
3,0,male,16
3,0,female,48
3,0,male,25
3,0,male,22
3,0,male,33
3,0,male,41
3,0,male,38
3,0,male,9
3,0,male,1
3,0,male,11
3,0,female,10
3,0,female,16
3,0,male,14
3,0,male,40
3,0,female,43
3,0,male,51
3,0,male,32
3,0,male,20
3,0,male,37
3,0,male,28
3,0,male,19
3,0,female,24
3,0,female,17
3,0,male,28
3,0,male,20
3,0,male,23.5
3,0,male,41
3,0,male,26
3,0,male,21
3,0,male,25
3,0,male,11
3,0,female,18
3,0,female,23
3,0,male,28
3,0,female,28
3,0,male,43
3,0,male,28
3,0,male,42
3,0,male,30
3,0,female,27
3,0,female,25
3,0,male,20
3,0,male,48
3,0,male,17
3,0,male,34
3,0,male,22
3,0,male,33
3,0,male,31
3,0,male,29
3,0,male,49
3,0,male,33
3,0,male,19
3,0,male,23
3,0,male,27
3,0,female,20
3,0,female,21
3,0,male,17
3,0,male,21
3,0,male,30
3,0,male,33
3,0,male,22
3,0,male,18.5
3,0,male,34.5
3,0,male,44
3,0,female,22
3,0,male,26
3,0,female,1
3,0,male,18
3,0,female,36
