Year,5pcIncome,95pcIncome,gini,giniChange,Party,PrimeMinister,PMLabel
1961,84.73,418.84,0.2679647,0,Conservative,Macmillan,Macmillan (1961)
1962,85.36,394.02,0.2543572,-0.014,Conservative,Macmillan,
1963,86.16,440.76,0.2783731,0.024,Conservative,Macmillan,
1964,91.93,423.14,0.2717605,-0.007,Labour,Wilson,Wilson (1964)
1965,100.89,438.15,0.2568052,-0.015,Labour,Wilson,
1966,101.93,470.47,0.267434,0.011,Labour,Wilson,
1967,108.54,465.39,0.2585878,-0.009,Labour,Wilson,
1968,113.69,484.83,0.2572833,-0.001,Labour,Wilson,
1969,110.82,495.56,0.265371,0.008,Labour,Wilson,
1970,112.34,520.83,0.2678483,0.002,Conservative,Heath,Heath (1970)
1971,108.17,515.57,0.2764134,0.009,Conservative,Heath,
1972,110.93,541.95,0.2795387,0.003,Conservative,Heath,
1973,124.4,561.33,0.2683372,-0.011,Conservative,Heath,
1974,124.65,546.55,0.2608001,-0.008,Labour,Wilson,Wilson (1974)
1975,126.15,535.3,0.2520049,-0.009,Labour,Wilson,
1976,123.92,521.12,0.251556,0,Labour,Callaghan,Callaghan (1976)
1977,125.06,498.47,0.2484723,-0.003,Labour,Callaghan,
1978,133.1,548.78,0.2482941,0,Labour,Callaghan,
1979,133.69,578.04,0.2610277,0.013,Conservative,Thatcher,Thatcher (1979)
1980,131.26,605.31,0.2673265,0.006,Conservative,Thatcher,
1981,128.13,600.56,0.2770807,0.01,Conservative,Thatcher,
1982,129.62,605.6,0.2779015,0.001,Conservative,Thatcher,
1983,129.93,622.97,0.2861892,0.008,Conservative,Thatcher,
1984,131.36,643.83,0.2898448,0.004,Conservative,Thatcher,
1985,135.82,702.61,0.3008933,0.011,Conservative,Thatcher,
1986,134.82,738.71,0.3132408,0.012,Conservative,Thatcher,
1987,130.17,830.97,0.3285488,0.015,Conservative,Thatcher,
1988,132.93,894.32,0.344745,0.016,Conservative,Thatcher,
1989,126.98,895.98,0.3486044,0.004,Conservative,Thatcher,
1990,125.61,975.98,0.3661364,0.018,Conservative,Major,Major (1990)
1991,120.8,998.56,0.3697473,0.004,Conservative,Major,
1992,116.18,992.05,0.3738731,0.004,Conservative,Major,
1993,113.97,1001.9,0.3743786,0.001,Conservative,Major,
1994,113.57,996.4,0.373873,-0.001,Conservative,Major,
1995,123.76,1017.15,0.3722642,-0.002,Conservative,Major,
1996,126.87,1058.31,0.3739263,0.002,Conservative,Major,
1997,125.87,1084.92,0.3792816,0.005,Labour,Blair,Blair (1997)
1998,138.04,1161.31,0.3852957,0.006,Labour,Blair,
1999,138.06,1194.05,0.3833461,-0.002,Labour,Blair,
2000,139.9,1248.07,0.3893036,0.006,Labour,Blair,
2001,153.9,1311.58,0.3817913,-0.008,Labour,Blair,
2002,155.25,1319.7,0.3767513,-0.005,Labour,Blair,
2003,150.46,1345.01,0.3752096,-0.002,Labour,Blair,
2004,153.44,1384.73,0.3774872,0.002,Labour,Blair,
2005,150.85,1407.98,0.3852004,0.008,Labour,Blair,
2006,139.1,1432.75,0.393021,0.008,Labour,Blair,
2007,140.33,1479.93,0.4020316,0.009,Labour,Brown,Brown (2007)
2008,129.57,1485.82,0.4042239,0.002,Labour,Brown,
2009,139.94,1535.04,0.4044231,0,Labour,Brown,
2010,142.97,1452.28,0.3830072,-0.021,Con-LD Coalition,Cameron,Cameron (2010)
2011,146.74,1432.43,0.3864646,0.003,Con-LD Coalition,Cameron,
2012,141.49,1411.72,0.3832096,-0.003,Con-LD Coalition,Cameron,
2013,141.18,1432.06,0.3915364,0.008,Con-LD Coalition,Cameron,
2014,144.32,1471.91,0.387282,-0.004,Con-LD Coalition,Cameron,
2015,141.99,1485.74,0.3959411,0.009,Conservative,Cameron,
2016,136.56,1490.68,0.3861341,-0.01,Conservative,May,May (2016)
2017,132.37,1482.39,0.3876019,0.001,Conservative,May,
2018,134.98,1524.46,0.3960781,0.008,Conservative,May,
2019,143.61,1563.13,0.3929417,-0.003,Conservative,Johnson,Johnson (2019)
2020,155.02,1498.65,0.3833654,-0.01,Conservative,Johnson,
2021,165.79,1517.49,0.3834603,0,Conservative,Johnson,
2022,157.65,1548.23,0.3897274,0.006,Conservative,Sunak,Sunak (2022)
2023,129.32,1477.09,0.389736,0,Conservative,Sunak,
