councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
barking and dagenham,abbey,E09000002,E05000026,Conservative and Unionist Party,Con,Ada Emeka Echedom,Ada,Echedom,110,0
barking and dagenham,abbey,E09000002,E05000026,Green Party,Grn,Annabel Allam,Annabel,Allam,148,0
barking and dagenham,abbey,E09000002,E05000026,Green Party,Grn,Michael Gold,Michael,Gold,135,0
barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,Manzoor Hussain,Manzoor,Hussain,470,1
barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,Regina Rahman,Regina,Rahman,503,1
barking and dagenham,alibon,E09000002,E05000027,Conservative and Unionist Party,Con,Arjun Singh Jaiya,Arjun,Jaiya,415,0
barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,Dorothy Akwaboah,Dorothy,Akwaboah,932,1
barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,John Dulwich,John,Dulwich,1060,1
barking and dagenham,barking riverside,E09000002,todo,Conservative and Unionist Party,Con,Anthony Olawale Oladimeji,Anthony,Oladimeji,291,0
barking and dagenham,barking riverside,E09000002,todo,Conservative and Unionist Party,Con,Mizanur Rahman,Mizanur,Rahman,381,0
barking and dagenham,barking riverside,E09000002,todo,Conservative and Unionist Party,Con,Mohammad Omar Bhuyan,Mohammad,Bhuyan,292,0
barking and dagenham,barking riverside,E09000002,todo,Labour Party,Lab,Cameron Geddes,Cameron,Geddes,893,1
barking and dagenham,barking riverside,E09000002,todo,Labour Party,Lab,Josie Channer,Josie,Channer,923,1
barking and dagenham,barking riverside,E09000002,todo,Labour Party,Lab,Victoria Hornby,Victoria,Hornby,890,1
barking and dagenham,barking riverside,E09000002,todo,Trade Unionist and Socialist Coalition,Other,Pete Mason,Pete,Mason,233,0
barking and dagenham,beam,E09000002,todo,Conservative and Unionist Party,Con,Karen Pearl Whittaker,Karen,Whittaker,433,0
barking and dagenham,beam,E09000002,todo,Conservative and Unionist Party,Con,Manvindra Singh Jaiya,Manvindra,Jaiya,417,0
barking and dagenham,beam,E09000002,todo,Conservative and Unionist Party,Con,Mark Charles Edward Smith,Mark,Smith,426,0
barking and dagenham,beam,E09000002,todo,Labour Party,Lab,Donna Lumsden,Donna,Lumsden,904,1
barking and dagenham,beam,E09000002,todo,Labour Party,Lab,MD Muhibul Alam Chowdury,MD,Chowdury,854,1
barking and dagenham,beam,E09000002,todo,Labour Party,Lab,Muazzam Ali Sandhu,Muazzam,Sandhu,825,1
barking and dagenham,becontree,E09000002,E05000028,Conservative and Unionist Party,Con,Anthony Chidume Egbuhuzor,Anthony,Egbuhuzor,334,0
barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,Edna Fergus,Edna,Fergus,1121,1
barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,Muhammad Saleem,Muhammad,Saleem,1002,1
barking and dagenham,chadwell heath,E09000002,E05000029,Conservative and Unionist Party,Con,Mark Raymond Lynch,Mark,Lynch,672,0
barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,Michael Pongo,Michael,Pongo,1486,1
barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,Sade Bright,Sade,Bright,1723,1
barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,Simon Perry,Simon,Perry,1693,1
barking and dagenham,eastbrook rush green,E09000002,todo,Conservative and Unionist Party,Con,Emma Louise Lynch,Emma,Lynch,525,0
barking and dagenham,eastbrook rush green,E09000002,todo,Conservative and Unionist Party,Con,Sue Connolly,Sue,Connolly,591,0
barking and dagenham,eastbrook rush green,E09000002,todo,Independent,Ind,Dean Hillyard,Dean,Hillyard,160,0
barking and dagenham,eastbrook rush green,E09000002,todo,Independent,Ind,Ron Emin,Ron,Emin,238,0
barking and dagenham,eastbrook rush green,E09000002,todo,Labour Party,Lab,Princess Bright,Princess,Bright,859,1
barking and dagenham,eastbrook rush green,E09000002,todo,Labour Party,Lab,Tony Ramsay,Tony,Ramsay,816,1
barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,Costel Filipescu,Costel,Filipescu,469,0
barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,Eunice Acheampomaa,Eunice,Acheampomaa,500,0
barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,Poli Begum,Poli,Begum,483,0
barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,Emily Rodwell,Emily,Rodwell,1494,1
barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,Faraaz Shaukat,Faraaz,Shaukat,1321,1
barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,Mohammed Khan,Mohammed,Khan,1381,1
barking and dagenham,gascoigne,E09000002,E05000032,Conservative and Unionist Party,Con,Roma Tahir,Roma,Tahir,283,0
barking and dagenham,gascoigne,E09000002,E05000032,Labour Party,Lab,Alison Cormack,Alison,Cormack,1272,1
barking and dagenham,gascoigne,E09000002,E05000032,Labour Party,Lab,Dominic Twomey,Dominic,Twomey,1121,1
barking and dagenham,gascoigne,E09000002,E05000032,Labour Party,Lab,Jack Shaw,Jack,Shaw,1146,1
barking and dagenham,gascoigne,E09000002,E05000032,Trade Unionist and Socialist Coalition,Other,Ruth Gabrielle Mason,Ruth,Mason,154,0
barking and dagenham,goresbrook,E09000002,E05000033,Conservative and Unionist Party,Con,Mehreen Zahid Iqbal,Mehreen,Iqbal,489,0
barking and dagenham,goresbrook,E09000002,E05000033,Conservative and Unionist Party,Con,Sharfaraz Khan Raj,Sharfaraz,Raj,535,0
barking and dagenham,goresbrook,E09000002,E05000033,Labour Party,Lab,Irma Freeborn,Irma,Freeborn,1233,1
barking and dagenham,goresbrook,E09000002,E05000033,Labour Party,Lab,Moin Ali Quadri,Moin,Quadri,1119,1
barking and dagenham,goresbrook,E09000002,E05000033,Labour Party,Lab,Paul David Robinson,Paul,Robinson,1292,1
barking and dagenham,heath,E09000002,E05000034,Conservative and Unionist Party,Con,Angelica Omolara Olawepo,Angelica,Olawepo,338,0
barking and dagenham,heath,E09000002,E05000034,Conservative and Unionist Party,Con,Martynas Cekavicius,Martynas,Cekavicius,338,0
barking and dagenham,heath,E09000002,E05000034,Labour Party,Lab,Ingrid Robinson,Ingrid,Robinson,930,1
