councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
Barking and Dagenham,Abbey,E09000002,E05000026,Labour Party,Lab,"Butt, Laila Ms.*",Laila,Butt,2252,1
Barking and Dagenham,Abbey,E09000002,E05000026,Labour Party,Lab,"Doyle, Danielle Ms.",Danielle,Doyle,2072,1
Barking and Dagenham,Abbey,E09000002,E05000026,Labour Party,Lab,"Miah, Giasuddin M.",Giasuddin,Miah,1966,1
Barking and Dagenham,Abbey,E09000002,E05000026,UK Independence Party (UKIP),Other,"Saeed, Tariq*",Tariq,Saeed,647,0
Barking and Dagenham,Abbey,E09000002,E05000026,Conservative Party,Con,"Ali, Modoris",Modoris,Ali,410,0
Barking and Dagenham,Abbey,E09000002,E05000026,Conservative Party,Con,"Chowdhury, Emran H.",Emran,Chowdhury,323,0
Barking and Dagenham,Abbey,E09000002,E05000026,Green Party,Grn,"Kitkovska, Natalija Ms.",Natalija,Kitkovska,307,0
Barking and Dagenham,Abbey,E09000002,E05000026,Conservative Party,Con,"Ampomah, Amaniampong A.",Amaniampong,Ampomah,292,0
Barking and Dagenham,Abbey,E09000002,E05000026,Liberal Democrats,LD,"Edwards, Ryan",Ryan,Edwards,221,0
Barking and Dagenham,Abbey,E09000002,E05000026,Europeans Party,Other,"Marius-Alexandru, Ostafe",Ostafe,Marius-Alexandru,94,0
Barking and Dagenham,Alibon,E09000002,E05000027,Labour Party,Lab,"Rodwell, Darren J.*",Darren,Rodwell,1398,1
Barking and Dagenham,Alibon,E09000002,E05000027,Labour Party,Lab,"Hughes, Christopher W.",Christopher,Hughes,1389,1
Barking and Dagenham,Alibon,E09000002,E05000027,Labour Party,Lab,"Alasia, Sanchia Ms.*",Sanchia,Alasia,1240,1
Barking and Dagenham,Alibon,E09000002,E05000027,UK Independence Party (UKIP),Other,"Wood, Norman J. W.",Norman,Wood,974,0
Barking and Dagenham,Alibon,E09000002,E05000027,Conservative Party,Con,"Hussain, Jakir",Jakir,Hussain,221,0
Barking and Dagenham,Alibon,E09000002,E05000027,Conservative Party,Con,"Ullah, Md. N.",Md.,Ullah,180,0
Barking and Dagenham,Alibon,E09000002,E05000027,Conservative Party,Con,"Zaman, Mohammed S.",Mohammed,Zaman,145,0
Barking and Dagenham,Alibon,E09000002,E05000027,Liberal Democrats,LD,"London, Terence",Terence,London,143,0
Barking and Dagenham,Becontree,E09000002,E05000028,Labour Party,Lab,"Carpenter, Evelyn Ms.*",Evelyn,Carpenter,2098,1
Barking and Dagenham,Becontree,E09000002,E05000028,Labour Party,Lab,"Choudhury, Faruk",Faruk,Choudhury,1885,1
Barking and Dagenham,Becontree,E09000002,E05000028,Labour Party,Lab,"Ogungbose, James O.*",James,Ogungbose,1784,1
Barking and Dagenham,Becontree,E09000002,E05000028,UK Independence Party (UKIP),Other,"Douglas, Robert J.*",Robert,Douglas,858,0
Barking and Dagenham,Becontree,E09000002,E05000028,UK Independence Party (UKIP),Other,"Douglas, Yvonne M. Ms.",Yvonne,Douglas,826,0
Barking and Dagenham,Becontree,E09000002,E05000028,Conservative Party,Con,"Larner, Lorraine C. Ms.",Lorraine,Larner,294,0
Barking and Dagenham,Becontree,E09000002,E05000028,Conservative Party,Con,"Hosain, Mohammed B.",Mohammed,Hosain,211,0
Barking and Dagenham,Becontree,E09000002,E05000028,Conservative Party,Con,"Smith, Ricci M.",Ricci,Smith,208,0
Barking and Dagenham,Becontree,E09000002,E05000028,Liberal Democrats,LD,"De Cruz, David L.",David,De Cruz,151,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Labour Party,Lab,"Wade, Jeffrey*",Jeffrey,Wade,1416,1
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Labour Party,Lab,"Bright, Afolasade O. Ms.",Afolasade,Bright,1389,1
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Labour Party,Lab,"Tarry, Samuel P.*",Samuel,Tarry,1356,1
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,UK Independence Party (UKIP),Other,"Curtis, Ronald J.",Ronald,Curtis,869,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,UK Independence Party (UKIP),Other,"Spindler, Ingrid Ms.",Ingrid,Spindler,805,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party,Con,"Sacky, Albert",Albert,Sacky,377,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party,Con,"Miah, Jamil",Jamil,Miah,354,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Green Party,Grn,"Rosaman, Debbie A.",Debbie,Rosaman,320,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Liberal Democrats,LD,"Croft, David O. T.",David,Croft,160,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,Labour Party,Lab,"Mccarthy, Michael A.*",Michael,Mccarthy,1581,1
Barking and Dagenham,Eastbrook,E09000002,E05000030,Labour Party,Lab,"Fergus, Edna M. Ms.",Edna,Fergus,1397,1
Barking and Dagenham,Eastbrook,E09000002,E05000030,Labour Party,Lab,"Ramsay, Anthony K.*",Anthony,Ramsay,1326,1
Barking and Dagenham,Eastbrook,E09000002,E05000030,UK Independence Party (UKIP),Other,"Kelly, Richard E.",Richard,Kelly,1102,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,UK Independence Party (UKIP),Other,"Gay, Jonathan R.",Jonathan,Gay,960,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party,Con,"Connelly, Susan M. Ms.",Susan,Connelly,544,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Mckay, Anthony",Anthony,Mckay,222,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Sturdy, Paul L. W.",Paul,Sturdy,166,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Labour Party,Lab,"Alexander, Jeannette L. Ms.*",Jeannette,Alexander,1691,1
Barking and Dagenham,Eastbury,E09000002,E05000031,Labour Party,Lab,"Rai, Hardial S.*",Hardial,Rai,1403,1
Barking and Dagenham,Eastbury,E09000002,E05000031,Labour Party,Lab,"Shaukat, Faraaz",Faraaz,Shaukat,1356,1
Barking and Dagenham,Eastbury,E09000002,E05000031,UK Independence Party (UKIP),Other,"M'Barki, Hayat S. Ms.",Hayat,M'Barki,832,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party,Con,"Amoah, Juliet Ms.",Juliet,Amoah,314,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Socialist Labour Party,Other,"Mcdermott, James E.*",James,Mcdermott,276,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrats,LD,"Challis, Dianne P. Ms.",Dianne,Challis,257,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party,Con,"Rahman, Alin",Alin,Rahman,242,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party,Con,"Choudhury, Pushpa",Pushpa,Choudhury,214,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Labour Party,Lab,"Ashraf, Saima*",Saima,Ashraf,1977,1
Barking and Dagenham,Gascoigne,E09000002,E05000032,Labour Party,Lab,"Aziz, Abdul G.*",Abdul,Aziz,1896,1
Barking and Dagenham,Gascoigne,E09000002,E05000032,Labour Party,Lab,"Twomey, Dominic A.*",Dominic,Twomey,1757,1
Barking and Dagenham,Gascoigne,E09000002,E05000032,UK Independence Party (UKIP),Other,"Silverfox, James F.",James,Silverfox,454,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party,Con,"Kar, Krishan K.",Krishan,Kar,274,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Ind,"Pongo, Mampuya M. A.",Mampuya,Pongo,226,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party,Con,"Khatun, Monwara",Monwara,Khatun,216,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party,Con,"Mukasa, Isaac",Isaac,Mukasa,172,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Trade Unionist and Socialist Coalition,Other,"Mason, Peter S.",Peter,Mason,146,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Trade Unionist and Socialist Coalition,Other,"Mason, Ruth G. Ms.",Ruth,Mason,143,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,Labour Party,Lab,"Bremner, Simon J.*",Simon,Bremner,1518,1
Barking and Dagenham,Goresbrook,E09000002,E05000033,Labour Party,Lab,"Freeborn, Irma L. M. Ms.",Irma,Freeborn,1471,1
Barking and Dagenham,Goresbrook,E09000002,E05000033,Labour Party,Lab,"Quadri, Moin A.",Moin,Quadri,1290,1
Barking and Dagenham,Goresbrook,E09000002,E05000033,UK Independence Party (UKIP),Other,"Kiff, Alan A.",Alan,Kiff,1023,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,British National Party,BNP,"Taylor, Robert M.",Robert,Taylor,469,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,Conservative Party,Con,"Khatun, Nadia Ms.",Nadia,Khatun,236,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,Conservative Party,Con,"Hussain, Sultana A.",Sultana,Hussain,224,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,Conservative Party,Con,"Onochie, Pearle E. Ms.",Pearle,Onochie,189,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,Liberal Democrats,LD,"Shukura, Nzingha T.",Nzingha,Shukura,131,0
Barking and Dagenham,Heath,E09000002,E05000034,Labour Party,Lab,"Reason, Linda A. Ms.*",Linda,Reason,1603,1
Barking and Dagenham,Heath,E09000002,E05000034,Labour Party,Lab,"Miles, David S.*",David,Miles,1504,1
Barking and Dagenham,Heath,E09000002,E05000034,Labour Party,Lab,"Young, Daniel",Daniel,Young,1380,1
Barking and Dagenham,Heath,E09000002,E05000034,UK Independence Party (UKIP),Other,"Harnett, Connor R.",Connor,Harnett,1021,0
Barking and Dagenham,Heath,E09000002,E05000034,Conservative Party,Con,"Miah, Faruk",Faruk,Miah,338,0
Barking and Dagenham,Heath,E09000002,E05000034,Liberal Democrats,LD,"Koranteng, Janet L. Ms.",Janet,Koranteng,210,0
Barking and Dagenham,Longbridge,E09000002,E05000035,Labour Party,Lab,"Gill, *", ,Gill,2288,1
Barking and Dagenham,Longbridge,E09000002,E05000035,Labour Party,Lab,"Ahammad, Syed*",Syed,Ahammad,1998,1
Barking and Dagenham,Longbridge,E09000002,E05000035,Labour Party,Lab,"Rice, Lynda Ms.*",Lynda,Rice,1752,1
Barking and Dagenham,Longbridge,E09000002,E05000035,Conservative Party,Con,"Rahman, Shahidur",Shahidur,Rahman,856,0
Barking and Dagenham,Longbridge,E09000002,E05000035,UK Independence Party (UKIP),Other,"Tahir, Rumana Y.",Rumana,Tahir,623,0
Barking and Dagenham,Longbridge,E09000002,E05000035,Conservative Party,Con,"Lewis, Glyn",Glyn,Lewis,485,0
Barking and Dagenham,Longbridge,E09000002,E05000035,Conservative Party,Con,"Semitego, Richard",Richard,Semitego,401,0
Barking and Dagenham,Longbridge,E09000002,E05000035,Green Party,Grn,"Tooley, Lorna J. Ms.",Lorna,Tooley,283,0
Barking and Dagenham,Longbridge,E09000002,E05000035,Liberal Democrats,LD,"Uddin, Mohammod J.",Mohammod,Uddin,275,0
Barking and Dagenham,Longbridge,E09000002,E05000035,Socialist Labour Party,Other,"Vincent, Gerald M.",Gerald,Vincent,272,0
